endTime,artistName,trackName,msPlayed,track_uri
2020-12-20 05:47,Sleeping At Last,Every Little Thing She Does Is Magic,196806,spotify:track:3cBtANnJGopPaRMXCl3mV7
2020-12-20 05:49,Sleeping At Last,"August 21, 2017: Total Solar Eclipse",160265,spotify:track:7HM5lQ8bwpvsL9ayUhcT1Q
2020-12-20 06:29,Sleeping At Last,Count Your Blessings Instead of Sheep,822,spotify:track:6GOhAZKtdOvP47BQWEzASE
2020-12-20 06:29,Sleeping At Last,Never Tear Us Apart,8330,spotify:track:0blP4o2R5F6Pyy6OMNsB2m
2020-12-20 06:32,Sleeping At Last,Breathe Deep,227835,spotify:track:2Cnex42j4eC4zUt0U3NsfN
2020-12-20 06:45,Sleeping At Last,From the Ground up (Instrumental),130444,spotify:track:3ftk2Q0mmCbqyomBrp9VgM
2020-12-20 07:07,Sleeping At Last,From the Ground up (Instrumental),31653,spotify:track:3ftk2Q0mmCbqyomBrp9VgM
2020-12-20 07:11,Sleeping At Last,Earth,268111,spotify:track:16D9AzevsZAh4GfQEYIo7I
2020-12-20 07:16,Sleeping At Last,Nine,319693,spotify:track:3HGKzDBC6MfnJtcCRi7xB3
2020-12-20 07:17,Sleeping At Last,Neptune,19799,spotify:track:1RgiH5ucgoEWDKmGyA5drQ
2020-12-20 07:17,Sleeping At Last,Total Eclipse of the Heart,1434,spotify:track:1650yatyByhD11nXbD8ktd
2020-12-20 07:22,Sleeping At Last,Saturn,289792,spotify:track:3tJjZMHLqhD8DaGgdBICnc
2020-12-20 07:26,Sleeping At Last,Already Gone,243007,spotify:track:5zCunX8URvLoBHlg1Fnjv6
2020-12-20 07:30,Sleeping At Last,Anger,229868,spotify:track:7dTib6ZgZ7IMVlnqrqMxc0
2020-12-20 07:33,Sleeping At Last,I'm Gonna Be (500 Miles),211767,
2020-12-20 07:37,Sleeping At Last,Countdowns,227790,spotify:track:10lrU6CTeeFL599a4qDjGY
2020-12-20 07:41,Sleeping At Last,Three,247463,spotify:track:6ECxq5Sh1ogq6oHDRUVmV2
2020-12-20 07:43,Sleeping At Last,Hearing,117370,spotify:track:13Z3uZXTFpbLBZ8R1rTUKO
2020-12-20 07:48,Simon & Garfunkel,Bridge Over Troubled Water,293120,spotify:track:6l8EbYRtQMgKOyc1gcDHF9
2020-12-20 07:52,Don McLean,Vincent,243485,spotify:track:0VNzEY1G4GLqcNx5qaaTl6
2020-12-20 07:55,Simon & Garfunkel,Homeward Bound,149613,spotify:track:4Xl2PrS3DJqqSKXCo6Uhv9
2020-12-20 08:46,Fleetwood Mac,Songbird - 2004 Remaster,51320,spotify:track:2JoUtztTqCN4ZhmbRDGPIL
2020-12-20 11:56,Ellie Goulding,Vincent,223560,spotify:track:6cM8yR3Kla13n9oMFscopV
2020-12-20 12:02,Avenged Sevenfold,Dear God,393480,spotify:track:2FML7gk7ac6quGFIjvkDb3
2020-12-20 12:28,Shawn Mendes,Imagination,847,spotify:track:21TcDbGosp7w9YhTjOszgA
2020-12-20 12:28,Two Steps from Hell,Star Sky,905,spotify:track:06AMpcajziFnEKniV25fiU
2020-12-20 12:28,Zac Efron,Rewrite The Stars,684,spotify:track:65fpYBrI8o2cfrwf2US4gq
2020-12-20 12:28,Kurt Hugo Schneider,Just A Dream,684,spotify:track:0QfmQhr5npxuWQ4zzUDUhB
2020-12-20 12:28,James TW,You & Me,824,spotify:track:1bQhZOoXYqjXs7u7rFXo0h
2020-12-20 12:28,Anthem Lights,Love You Like the Movies,1044,spotify:track:5z8qQvLYEehH19vNOoFAPb
2020-12-20 12:28,The Lumineers,Patience,93304,spotify:track:5ONbCAFFnAJ0YGClEeddcU
2020-12-20 12:28,Thomas Bergersen,Empire of Angels,766,spotify:track:3AnYGQ8PB3lYrA6ToVUXa3
2020-12-20 12:31,AJR,Bang!,170858,spotify:track:5FQPpxOXsvkMN6v18gtpwY
2020-12-20 12:31,Idina Menzel,Show Yourself,2652,spotify:track:50WeOnXhM1H7AZEeIDoWfZ
2020-12-20 12:34,The Wanted,Could This Be Love,11633,spotify:track:5OHwyr1icA3MYqRMiSKAMu
2020-12-20 12:34,blink-182,All The Small Things,167066,spotify:track:2m1hi0nfMR9vdGC8UcrnwU
2020-12-20 12:38,Fall Out Boy,The Kids Aren't Alright,260920,spotify:track:3x7NGlfDKQYN2wnwEnL7r9
2020-12-20 14:08,Taylor Swift,I Knew You Were Trouble.,77626,spotify:track:6FB3v4YcR57y4tXFcdxI1E
2020-12-20 14:12,Iván Torrent,Remember Me (feat. Roger Berruezo),224581,spotify:track:46UjKVKpPK4HyxkIEqQjFG
2020-12-20 14:15,CNCO,Reggaetón Lento (Remix),188800,spotify:track:58gqyeFXhOttZW3yetJGPN
2020-12-20 15:13,Simon & Garfunkel,Bridge Over Troubled Water,293120,spotify:track:6l8EbYRtQMgKOyc1gcDHF9
2020-12-20 15:17,Don McLean,Vincent,243485,spotify:track:0VNzEY1G4GLqcNx5qaaTl6
2020-12-20 15:19,Art Garfunkel,Bright Eyes,46675,spotify:track:3Jy0dWV5AnnfyTvHK6UWof
2020-12-20 15:19,Simon & Garfunkel,April Come She Will,109367,spotify:track:0djZ2ndRfAL69WYNra5jRC
2020-12-20 15:28,Don McLean,American Pie - Live/1971,513000,
2020-12-20 15:34,Don McLean,Vincent,243485,spotify:track:0VNzEY1G4GLqcNx5qaaTl6
2020-12-20 15:40,Billy Joel,Piano Man,339000,spotify:track:70C4NyhjD5OZUMzvWZ3njJ
2020-12-20 15:43,The Monkees,Daydream Believer,179613,spotify:track:7uEcCGtM1FBBGIhPozhJjv
2020-12-20 15:46,Fleetwood Mac,Go Your Own Way - 2004 Remaster,223609,spotify:track:07GvNcU1WdyZJq3XxP0kZa
2020-12-20 15:50,John Denver,Calypso,216173,spotify:track:2eD5bmknmcojiCxoKpvVTI
2020-12-20 15:53,Bread,Everything I Own,187000,spotify:track:52VIdyKqp1pJRSyUQaxKUA
2020-12-20 15:56,Van Morrison,Brown Eyed Girl,183299,spotify:track:3yrSvpt2l1xhsV9Em88Pul
2020-12-20 16:01,Dan Fogelberg,Leader of the Band,256396,spotify:track:3O4s2m47MFhnGqmpkjoKYk
2020-12-20 16:04,Neil Diamond,Sweet Caroline,203573,spotify:track:62AuGbAkt8Ox2IrFFb8GKV
2020-12-20 16:06,Buddy Holly,That'll Be The Day,150133,
2020-12-20 16:10,Yusuf / Cat Stevens,Father And Son,221000,spotify:track:476V2d6iA2tWXgQboKmTtA
2020-12-20 16:14,Billy Joel,Only the Good Die Young,235544,spotify:track:1xOXXYh6lTW8laxlW7JP2J
2020-12-20 16:17,Simon & Garfunkel,Cecilia,174826,spotify:track:6QhXQOpyYvbpdbyjgAqKdY
2020-12-20 16:21,Eagles,Desperado - 2013 Remaster,213712,spotify:track:2TjnCxxQRYn56Ye8gkUKiW
2020-12-20 16:24,"Peter, Paul and Mary","Puff, the Magic Dragon",206866,spotify:track:3hqsBLMAqJqrhr434Z7WlA
2020-12-20 16:28,Harry Chapin,Cat's in the Cradle,222951,spotify:track:2obblQ6tcePeOEVJV6nEGD
2020-12-20 16:31,Neil Diamond,Forever In Blue Jeans,217525,spotify:track:1K1nzhbKCNmrNXi9B07mPF
2020-12-20 16:35,Elton John,Your Song,241767,spotify:track:38zsOOcu31XbbYj9BIPUF1
2020-12-20 16:39,Yusuf / Cat Stevens,Morning Has Broken,200000,spotify:track:5y8d8RHvxb0KiTa9Nq0xWp
2020-12-20 16:42,John Denver,"Take Me Home, Country Roads",197813,spotify:track:1QbOvACeYanja5pbnJbAmk
2020-12-20 16:45,Carpenters,Please Mr. Postman,172733,spotify:track:74jZhGv0fdLaf9q8AZZ15k
2020-12-20 16:50,Little River Band,Cool Change - Remastered,313285,spotify:track:1RaUxP6LHVAgbmLOn2naLl
2020-12-20 16:53,Tom Jones,Green Green Grass Of Home,184878,spotify:track:5BFWQXNGPYadZxNKxY1UfU
2020-12-20 16:57,Bonnie Raitt,Something To Talk About,227556,spotify:track:6Ceejf3zBXvAhIY9DbP1Pr
2020-12-20 17:01,Eagles,Take It Easy - 2013 Remaster,211577,spotify:track:4yugZvBYaoREkJKtbG08Qr
2020-12-20 17:06,Bette Midler,Wind Beneath My Wings,293853,spotify:track:2Pxqs0WmxxHTV5QaTdmt3Q
2020-12-20 17:09,"Peter, Paul and Mary",Leaving on a Jet Plane,207240,spotify:track:6ZSTinOwx5dKFYc6iYyGDn
2020-12-20 17:12,Neil Diamond,Cracklin' Rosie - Single Version,179933,spotify:track:5pkd9ib1RgbkAd1R9bIOCa
2020-12-20 17:17,Billy Joel,We Didn't Start the Fire,287733,spotify:track:3Cx4yrFaX8CeHwBMReOWXI
2020-12-20 17:20,James Taylor,Fire and Rain - 2019 Remaster,203547,spotify:track:1oht5GevPN9t1T3kG1m1GO
2020-12-20 17:22,Joni Mitchell,Big Yellow Taxi,134800,spotify:track:6UPMrJt8MhYeXPiRDwLZBx
2020-12-20 17:26,Helen Reddy,I Am Woman,205869,spotify:track:3l2hbXdvmaH3tUd3qWLKgm
2020-12-20 17:29,Jimmy Buffett,Come Monday,191733,spotify:track:0yje3JVMgJNZENayymCTHA
2020-12-20 17:32,Fleetwood Mac,Don't Stop - 2004 Remaster,193284,
2020-12-20 17:37,John Denver,Rocky Mountain High,283640,spotify:track:1ne9wOtDF2jM6Cm8WBkaER
